family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Friday,8,23072.0,12381.535714285712,-10690.464285714288,0.5366476991281949,0.6256636059893521,1.0,0.6256636059893521,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Friday,8,23072.0,11387.059523809525,-11684.940476190475,0.4935445355326597,0.6261473703192588,1.0,0.6261473703192588,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Friday,8,23072.0,10945.27142857143,-12126.72857142857,0.4743962997820488,0.6262675604473449,1.0,0.6262675604473449,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Friday,8,23072.0,11001.714285714288,-12070.285714285712,0.47684267881910053,0.6266035490460781,1.0,0.6266035490460781,recent21_sunday0,seasonal_2024
weekday,Friday,8,23072.0,11511.33333333333,-11560.66666666667,0.4989308830328246,0.6266126770452444,1.0,0.6266126770452444,recent18_sunday0,seasonal_2024
weekday,Friday,8,23072.0,11691.642857142857,-11380.357142857143,0.5067459629482861,0.6266881934225714,1.0,0.6266881934225714,recent21_28_w50_50_sunday0,seasonal_2024
weekday,Friday,8,23072.0,13761.285714285712,-9310.714285714288,0.5964496235387358,0.6277390560290292,1.0,0.6277390560290292,recent56_sunday0,seasonal_2024
weekday,Friday,8,23072.0,12381.571428571433,-10690.428571428567,0.536649247077472,0.6291637323354752,1.0,0.6291637323354752,recent28_sunday0,seasonal_2024
weekday,Friday,8,23072.0,9572.857142857143,-13499.142857142857,0.41491232415296214,0.6292007236314503,1.0,0.6292007236314503,recent14_sunday0,seasonal_2024
weekday,Friday,8,23072.0,0.0,-23072.0,0.0,0.7625342426692432,1.0,0.7625342426692432,zero,seasonal_2024
weekday,Monday,8,21692.0,12913.095238095237,-8778.904761904763,0.5952929761246191,0.6721187887430238,1.0,0.6721187887430238,recent84_sunday0,seasonal_2024
weekday,Monday,8,21692.0,13761.285714285712,-7930.714285714288,0.6343945101551591,0.6795671104411488,1.0,0.6795671104411488,recent56_sunday0,seasonal_2024
weekday,Monday,8,21692.0,12381.535714285712,-9310.464285714288,0.5707881114828376,0.680103961216403,1.0,0.680103961216403,recent21_28_56_w25_50_25_sunday0,seasonal_2024
weekday,Monday,8,21692.0,12174.564285714283,-9517.435714285717,0.5612467400753404,0.6805375555235265,1.0,0.6805375555235265,recent21_28_56_w35_45_20_sunday0,seasonal_2024
weekday,Monday,8,21692.0,11691.642857142857,-10000.357142857143,0.538984088933379,0.6828577762353236,1.0,0.6828577762353236,recent21_28_w50_50_sunday0,seasonal_2024
weekday,Monday,8,21692.0,11511.33333333333,-10180.66666666667,0.5306718298604707,0.6831014524206862,1.0,0.6831014524206862,recent18_sunday0,seasonal_2024
weekday,Monday,8,21692.0,12381.571428571433,-9310.428571428567,0.5707897579094335,0.6831434362666566,1.0,0.6831434362666566,recent28_sunday0,seasonal_2024
weekday,Monday,8,21692.0,11387.059523809525,-10304.940476190475,0.5249428141162421,0.6832658373942324,1.0,0.6832658373942324,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Monday,8,21692.0,11001.714285714288,-10690.285714285712,0.5071784199573247,0.6851496019256289,1.0,0.6851496019256289,recent21_sunday0,seasonal_2024
weekday,Monday,8,21692.0,10945.27142857143,-10746.72857142857,0.5045764073654541,0.6851900220167124,1.0,0.6851900220167124,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Monday,8,21692.0,9572.857142857143,-12119.142857142857,0.4413081847158926,0.6940898379608742,1.0,0.6940898379608742,recent14_sunday0,seasonal_2024
weekday,Monday,8,21692.0,0.0,-21692.0,0.0,0.8574051929628655,1.0,0.8574051929628655,zero,seasonal_2024
weekday,Saturday,8,13254.0,9572.857142857143,-3681.142857142857,0.7222617430856453,0.4687790116928573,1.0,0.4687790116928573,recent14_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,11001.714285714288,-2252.285714285712,0.8300674728922807,0.47873346188425825,1.0,0.47873346188425825,recent21_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,10945.27142857143,-2308.72857142857,0.8258089202181553,0.4792312501513066,1.0,0.4792312501513066,recent14_18_21_w20_45_35_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,11387.059523809525,-1866.9404761904752,0.8591413553500471,0.4817470574692369,1.0,0.4817470574692369,recent18_21_28_w35_50_15_sunday0,seasonal_2024
weekday,Saturday,8,13254.0,11691.642857142857,-1562.3571428571431,0.8821218392291276,0.48206996426052445,1.0,0.48206996426052445,recent21_28_w50_50_sunday0,seasonal_2024
